"mirname" "p.value"
"hsa-miR-142-5p" "0,031850437"
"HS_130" "0,032014192"
"hsa-miR-324-5p" "0,032341703"
"hsa-miR-1205" "0,032450873"
"HS_2" "0,032560044"
"hsa-miR-136" "0,032778384"
"hsa-miR-1266" "0,032887555"
"hsa-miR-372" "0,033215066"
"HS_219" "0,033542576"
"HS_112" "0,034033843"
"hsa-miR-548a-3p" "0,034415939"
"solexa-555-1991" "0,034470524"
"hsa-miR-578" "0,034525109"
"hsa-miR-186" "0,034579694"
"hsa-miR-154*" "0,034688865"
"solexa-499-2217" "0,03485262"
"HS_184" "0,034907205"
"hsa-miR-1537" "0,03496179"
"hsa-miR-631" "0,035016376"
"hsa-miR-30b*" "0,035343886"
"hsa-miR-369-3p" "0,035507642"
"HS_175" "0,035725983"
"hsa-miR-181a-2*" "0,035889738"
"hsa-miR-584" "0,036053493"
"hsa-miR-644" "0,036271834"
"hsa-miR-27a*" "0,036326419"
"hsa-miR-513a-5p" "0,03643559"
"solexa-5169-164" "0,036599345"
"hsa-miR-374b" "0,03665393"
"solexa-9655-85" "0,0367631"
"hsa-miR-494" "0,036817686"
"hsa-miR-1294" "0,036872271"
"HS_250" "0,037418122"
"solexa-8048-104" "0,037745633"
"HS_144" "0,037854803"
"hsa-miR-409-5p" "0,038673581"
"HS_52" "0,039001092"
"hsa-miR-1323" "0,039055677"
"hsa-miR-134" "0,039328603"
"HS_46" "0,039492358"
"hsa-miR-370" "0,039656114"
"HS_60" "0,039874454"
"hsa-miR-627" "0,040365721"
"hsa-miR-21" "0,040447598"
"hsa-miR-1305" "0,041184498"
"hsa-miR-154" "0,041621179"
"hsa-miR-1301" "0,041675764"
"hsa-miR-545:9.1" "0,041730349"
"HS_22.1" "0,04183952"
"hsa-miR-760" "0,042003275"
"HS_257" "0,042576419"
"hsa-miR-183" "0,043204148"
"hsa-miR-92b*" "0,04364083"
"hsa-miR-17" "0,043695415"
"HS_116" "0,043968341"
"hsa-miR-216a" "0,044077511"
"HS_87" "0,044514192"
"hsa-miR-198" "0,044732533"
"hsa-miR-376a*" "0,044950873"
"HS_153" "0,045060044"
"hsa-miR-769-5p" "0,045114629"
"HS_3" "0,045169214"
"hsa-miR-1300" "0,045278384"
"hsa-miR-412" "0,046151747"
"hsa-miR-518e:9.1" "0,046260917"
"hsa-miR-618" "0,046970524"
"hsa-miR-136*" "0,047025109"
"HS_57.1" "0,04724345"
"hsa-miR-922" "0,04746179"
"HS_142.1" "0,047570961"
"hsa-miR-138" "0,047625546"
"hsa-let-7a*" "0,047734716"
"hsa-miR-379*" "0,047789301"
"hsa-miR-10a" "0,047843886"
"hsa-miR-613" "0,047898472"
"hsa-miR-543" "0,048553493"
"hsa-miR-519e*" "0,048608079"
"hsa-miR-7" "0,048990175"
"hsa-miR-526b*" "0,049317686"
"hsa-miR-30d*" "0,049645197"
"hsa-miR-559" "0,049918122"
"hsa-miR-1262" "0,0507369"
"HS_77" "0,050791485"
"hsa-miR-486-3p" "0,051009825"
"hsa-miR-99a*" "0,051118996"
"HS_45.1" "0,051774017"
"hsa-miR-675" "0,052865721"
"hsa-miR-1297" "0,053520742"
"hsa-miR-614" "0,053629913"
"hsa-miR-145*" "0,053957424"
"hsa-miR-519d" "0,054776201"
"hsa-miR-551a" "0,055594978"
"hsa-miR-518e" "0,055649563"
"hsa-miR-609" "0,055867904"
"HS_170" "0,056304585"
"solexa-6676-127" "0,056413755"
"hsa-miR-379" "0,056522926"
"HS_96" "0,056795852"
"hsa-miR-409-3p" "0,057396288"
"hsa-miR-921" "0,057996725"
"hsa-miR-580" "0,058597162"
"hsa-miR-491-3p" "0,058651747"
"hsa-miR-325" "0,058924672"
"hsa-miR-449b" "0,058979258"
"hsa-miR-1263" "0,059306769"
"HS_268" "0,059525109"
"hsa-miR-1274b" "0,059661572"
"hsa-miR-557" "0,059798035"
"hsa-miR-518c*" "0,060343886"
"hsa-miR-665" "0,060453057"
"hsa-miR-495" "0,061053493"
"hsa-miR-320d,hsa-miR-320b,hsa-miR-320a,hsa-miR-320c" "0,061108079"
"hsa-miR-106b" "0,061217249"
"hsa-miR-410" "0,061708515"
"hsa-miR-603" "0,0617631"
"HS_31.1" "0,061872271"
"hsa-miR-146b-5p" "0,06356441"
"HS_262.1" "0,063618996"
"HS_109" "0,063782751"
"hsa-miR-1826" "0,064110262"
"hsa-miR-98" "0,064383188"
"hsa-miR-1245" "0,064492358"
"hsa-miR-490-3p" "0,064601528"
"HS_149" "0,064656114"
"hsa-miR-218-1*" "0,065311135"
"hsa-miR-582-3p" "0,065856987"
"hsa-miR-504" "0,066621179"
"HS_14.1" "0,066675764"
"hsa-miR-299-5p" "0,068313319"
"hsa-miR-186*" "0,068913755"
"hsa-let-7c" "0,069677948"
"hsa-miR-18a" "0,07044214"
"HS_43.1" "0,070933406"
"HS_160" "0,071097162"
"HS_59" "0,071424672"
"hsa-miR-34a*" "0,071752183"
"hsa-miR-1308" "0,071806769"
"HS_30" "0,072079694"
"hsa-miR-1229" "0,072270742"
"hsa-miR-628-3p" "0,07246179"
