"mirname"	"p.value"
"hsa-miR-532-3p"	0.479010558583106
"hsa-miR-891b"	0.48028780653951
"hsa-miR-1203"	0.480798705722071
"hsa-miR-492"	0.485226498637602
"hsa-miR-193b"	0.485396798365123
"hsa-miR-506"	0.48820674386921
"hsa-miR-875-5p"	0.49203848773842
"hsa-miR-889"	0.493400885558583
"hsa-miR-2052"	0.498339577656676
"hsa-miR-605"	0.499191076294278
"hsa-miR-501-3p"	0.500212874659401
"hsa-miR-384"	0.501319822888283
"hsa-let-7i"	0.501490122615804
"hsa-miR-485-3p"	0.503618869209809
"hsa-miR-637"	0.504300068119891
"hsa-miR-513a-5p"	0.504640667574932
"hsa-miR-412"	0.507280313351499
"hsa-miR-212"	0.508302111716621
"ebv-miR-BART12"	0.510090258855586
"ebv-miR-BHRF1-3"	0.510771457765668
"hsa-miR-1827"	0.511963555858311
"hsa-miR-744"	0.512133855585831
"hsa-miR-33a"	0.513581403269755
"hsa-miR-1200"	0.517668596730245
"hsa-let-7e"	0.518349795640327
"hsa-miR-483-3p"	0.518605245231608
"hsa-miR-604"	0.518860694822888
"kshv-miR-K12-4-3p"	0.521500340599455
"hsa-miR-1308"	0.525417234332425
"hsa-miR-320c"	0.527035081743869
"hsa-miR-1243"	0.528993528610354
"hsa-miR-758"	0.529674727520436
"hsa-miR-134"	0.532399523160763
"hsa-miR-1277"	0.533506471389646
"hsa-miR-603"	0.535635217983651
"hsa-miR-484"	0.537934264305177
"hsa-miR-548b-5p"	0.540573910081744
"hsa-miR-124"	0.542532356948229
"hcmv-miR-US25-2-5p"	0.54278780653951
"ebv-miR-BART15"	0.54304325613079
"hsv1-miR-H8"	0.543639305177112
"kshv-miR-K12-6-3p"	0.543979904632153
"hsa-miR-769-5p"	0.545597752043597
"hsa-miR-520f"	0.545938351498638
"hsa-miR-326"	0.546108651226158
"hsa-miR-490-3p"	0.550451294277929
"hsa-miR-608"	0.55079189373297
"hsa-miR-220c"	0.552494891008174
"hsa-miR-548d-5p"	0.553772138964578
"hsa-miR-654-3p"	0.55453848773842
"hsa-miR-632"	0.555049386920981
"hsa-miR-200c"	0.556411784741144
"hsa-miR-675"	0.556496934604905
"hsa-miR-1244"	0.556624659400545
"hsa-miR-376a"	0.55871083106267
"hsa-miR-943"	0.559136580381471
"hsa-miR-599"	0.559647479564033
"hcmv-miR-US33-5p"	0.562116825613079
"hsa-miR-130a"	0.56254257493188
"ebv-miR-BART20-5p"	0.56262772479564
"hsv1-miR-H7"	0.562968324250681
"hsa-miR-487b"	0.566204019073569
"ebv-miR-BART5"	0.567907016348774
"kshv-miR-K12-5"	0.568417915531335
"kshv-miR-K12-11"	0.569524863760218
"hsa-miR-377"	0.569865463215259
"hsa-miR-876-3p"	0.575825953678474
"hsa-miR-302c"	0.576251702997275
"hsa-miR-1910"	0.578465599455041
"hiv1-miR-TAR-3p"	0.578721049046321
"hsa-miR-1179"	0.579487397820163
"hsa-miR-1201"	0.580296321525886
"hsa-miR-2110"	0.580679495912807
