"mirname" "pvalue"
"hsa-miR-3126-5p" 0.281491095358798
"hsa-miR-421" 0.283809687458221
"hsa-miR-485-3p" 0.283011701190096
"hsa-miR-499-3p" 0.284566799537565
"hsa-miR-505" 0.281387588412411
"hsa-miR-616*" 0.282910019373998
"hsa-miR-651" 0.284003114271839
"hsa-miR-503" 0.287859104992087
"hsa-miR-548n" 0.289919476402142
"hsa-miR-3142" 0.291147174029119
"hsa-miR-1299" 0.294999065730766
"hsa-miR-19a" 0.294819000422037
"hsa-miR-3925" 0.299066415699268
"hsa-miR-3128" 0.30022155977656
"hsa-miR-3184" 0.300976457592929
"hsa-miR-369-3p" 0.302456545298958
"hsa-miR-374c" 0.302486876960656
"hsa-miR-1972" 0.30483245503305
"hsa-miR-532-5p" 0.308850906318533
"hsa-miR-1273" 0.309907951159965
"hsa-miR-149" 0.311969261267858
"hsa-miR-491-5p" 0.31565927479845
"hsa-miR-221*" 0.318097398964534
"hsa-miR-141" 0.319611660321575
"hsa-miR-1293" 0.321748608312369
"hsa-miR-135b" 0.328781297024514
"hsa-miR-3918" 0.329935531708647
"hsa-miR-1306" 0.333963502307808
"hsa-miR-20b" 0.334029240767048
"hsa-miR-30d*" 0.331664979083296
"hsa-miR-31*" 0.335410583157907
"hsa-miR-486-3p" 0.335007183584575
"hsa-miR-548j" 0.332783776927217
"hsa-miR-450b-5p" 0.336553578941038
"hsa-miR-181d" 0.337483984496216
"hsa-miR-3194" 0.340119989717408
"hsa-miR-200b" 0.343250690099989
"hsa-miR-409-5p" 0.34395037335658
"hsa-miR-3143" 0.34691133138718
"hsa-miR-3605-5p" 0.350101183613485
"hsa-miR-125b-2*" 0.354666920334401
"hsa-miR-29c*" 0.357291883774628
"hsa-miR-153" 0.358853586235285
"hsa-miR-2116" 0.360002361235108
"hsa-let-7a" 0.364372458120879
"hsa-miR-3619" 0.368519499437452
"hsa-miR-378*" 0.367280647193006
"hsa-miR-570" 0.369171165808159
"hsa-miR-582-5p" 0.368818619035754
"hsa-miR-484" 0.373545035119678
"hsa-miR-892a" 0.372753391920742
"hsa-miR-186*" 0.374694691657574
"hsa-miR-1267" 0.375603343580048
"hsa-miR-1251" 0.385104804640539
"hsa-miR-1254" 0.384397514300067
"hsa-miR-16" 0.387636956749188
"hsa-miR-183*" 0.386683194141817
"hsa-miR-18a" 0.385168063535151
"hsa-miR-23c" 0.38879022330703
"hsa-miR-3916" 0.381395308776825
"hsa-miR-410" 0.381234228633927
"hsa-miR-501-3p" 0.38867918342428
"hsa-miR-548f" 0.378067835681111
"hsa-miR-548x" 0.389391918756057
"hsa-miR-574-5p" 0.384318603349939
"hsa-miR-624" 0.390265932021603
"hsa-miR-663b" 0.382754010520768
"hsa-miR-671-5p" 0.380897527125829
"hsa-miR-873" 0.389971248090467
"hsa-miR-548g" 0.396246940638931
"hsa-miR-335" 0.401257373527946
"hsa-miR-615-5p" 0.407303569610718
"hsa-miR-3613-5p" 0.408550526446857
"hsa-miR-2278" 0.409817861758359
"hsa-miR-3675-5p" 0.412475039549903
"hsa-miR-379*" 0.413799763456733
"hsa-miR-495" 0.416180343152319
"hsa-miR-1908" 0.417641736947518
"hsa-miR-106b*" 0.42200211478529
"hsa-miR-643" 0.423076527102976
"hsa-miR-30b*" 0.425086337736921
"hsa-miR-30c-1*" 0.426046378350208
"hsa-miR-374a" 0.425767942844237
"hsa-miR-376a*" 0.430830236107331
"hsa-miR-33a" 0.434838810080258
"hsa-miR-449c" 0.435149254206611
"hsa-miR-580" 0.435097390892298
"hsa-miR-1287" 0.44238746309729
"hsa-miR-27b" 0.440982856184647
"hsa-miR-33b" 0.443163862635307
"hsa-miR-508-3p" 0.44485997423803
"hsa-miR-548d-5p" 0.44453330082743
"hsa-miR-3676" 0.446795166806962
"hsa-miR-381" 0.449276365114376
"hsa-miR-320d" 0.452759077477567
"hsa-miR-548a-5p" 0.452471053680767
"hsa-miR-455-5p" 0.454492205152323
"hsa-miR-340*" 0.455927982772
"hsa-miR-3130-3p" 0.457973909186154
"hsa-miR-1260b" 0.463394004672268
"hsa-miR-181a-2*" 0.464031683461915
"hsa-miR-2355-5p" 0.463219822064877
"hsa-miR-3663-3p" 0.465023915171939
"hsa-miR-548o" 0.460534766368796
"hsa-miR-579" 0.462295359279381
"hsa-miR-429" 0.466647109873744
"hsa-miR-182" 0.471114040379721
"hsa-miR-551b" 0.472694731509749
"hsa-miR-200a*" 0.474262104724421
"hsa-miR-342-3p" 0.477229281742358
"hsa-miR-3065-5p" 0.48076975338815
"hsa-miR-769-5p" 0.483629916697219
"hsa-miR-34a*" 0.485083762189816
"hsa-miR-363" 0.489477798165851
